########################################################################################################################################################################################################
Check MTCNN_ROOT_DIR, current MTCNN_ROOT_DIR is - /
########################################################################################################################################################################################################
########################################################################################################################################################################################################
########################################################################################################################################################################################################
Prepare CelebA dataset for input.
Prepared CelebA dataset for input.
########################################################################################################################################################################################################
Generate a basic dataset i.e. PNet dataset.
Generated a basic dataset i.e. PNet dataset.
########################################################################################################################################################################################################
Train PNet.
2018-09-10 22:11:05.788329 - step - 3840 accuracy - 0.946188, class loss - 0.196523, bbox loss - 0.073931, landmark loss - 0.030195, L2 loss - 0.017259, lr - 0.010000 
2018-09-10 22:16:40.544799 - step - 7680 accuracy - 0.917031, class loss - 0.333967, bbox loss - 0.069393, landmark loss - 0.023951, L2 loss - 0.017209, lr - 0.010000 
2018-09-10 22:22:15.085811 - step - 11520 accuracy - 0.956311, class loss - 0.206272, bbox loss - 0.063708, landmark loss - 0.030005, L2 loss - 0.017680, lr - 0.010000 
2018-09-10 22:27:48.050947 - step - 15360 accuracy - 0.952790, class loss - 0.226980, bbox loss - 0.069902, landmark loss - 0.022353, L2 loss - 0.018261, lr - 0.010000 
2018-09-10 22:33:20.844544 - step - 19200 accuracy - 0.954128, class loss - 0.220258, bbox loss - 0.054652, landmark loss - 0.026646, L2 loss - 0.019039, lr - 0.010000 
2018-09-10 22:38:53.482362 - step - 23040 accuracy - 0.952381, class loss - 0.197296, bbox loss - 0.076897, landmark loss - 0.024298, L2 loss - 0.019525, lr - 0.010000 
2018-09-10 22:44:26.573439 - step - 26880 accuracy - 0.938596, class loss - 0.263213, bbox loss - 0.072623, landmark loss - 0.018220, L2 loss - 0.020062, lr - 0.010000 
2018-09-10 22:49:59.108984 - step - 30720 accuracy - 0.927350, class loss - 0.291235, bbox loss - 0.076399, landmark loss - 0.037994, L2 loss - 0.020323, lr - 0.010000 
2018-09-10 22:55:31.625382 - step - 34560 accuracy - 0.943723, class loss - 0.204478, bbox loss - 0.060310, landmark loss - 0.020329, L2 loss - 0.020752, lr - 0.010000 
2018-09-10 23:01:04.277063 - step - 38400 accuracy - 0.942982, class loss - 0.279642, bbox loss - 0.072935, landmark loss - 0.027238, L2 loss - 0.020990, lr - 0.010000 
2018-09-10 23:06:36.844985 - step - 42240 accuracy - 0.933628, class loss - 0.235187, bbox loss - 0.063106, landmark loss - 0.036570, L2 loss - 0.021173, lr - 0.010000 
2018-09-10 23:12:09.171646 - step - 46080 accuracy - 0.940367, class loss - 0.194628, bbox loss - 0.080631, landmark loss - 0.029218, L2 loss - 0.021337, lr - 0.010000 
2018-09-10 23:17:41.411591 - step - 49920 accuracy - 0.976959, class loss - 0.133707, bbox loss - 0.055644, landmark loss - 0.020450, L2 loss - 0.021371, lr - 0.010000 
2018-09-10 23:23:13.879923 - step - 53760 accuracy - 0.953192, class loss - 0.241212, bbox loss - 0.054618, landmark loss - 0.024340, L2 loss - 0.021507, lr - 0.010000 
2018-09-10 23:28:46.566186 - step - 57600 accuracy - 0.942387, class loss - 0.258252, bbox loss - 0.059306, landmark loss - 0.019396, L2 loss - 0.021689, lr - 0.010000 
2018-09-10 23:34:19.122627 - step - 61440 accuracy - 0.961039, class loss - 0.164443, bbox loss - 0.068562, landmark loss - 0.022863, L2 loss - 0.021662, lr - 0.010000 
2018-09-10 23:39:51.143635 - step - 65280 accuracy - 0.946667, class loss - 0.212178, bbox loss - 0.059456, landmark loss - 0.022002, L2 loss - 0.021678, lr - 0.010000 
